버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
49201,남양주시,41360,경복대학,2020-08-28 14:23:26,1598624606,21,26,0,0,0.086,28.4,86.2,N ,0
49444,남양주시,41360,휴먼시아1636,2020-08-28 14:21:46,1598624506,17,22,0,0.003,0.059,29.4,83.2,S ,0.6
23313,남양주시,41360,신광마을입구.진접센트레빌시티,2020-08-28 14:27:07,1598624827,17,21,0,0,0.064,30.4,81.2,S ,0
23246,남양주시,41360,진접파출소.제일약국,2020-08-28 14:25:53,1598624753,26,32,0,0.041,0.092,31.4,71.8,W ,0.9
23806,남양주시,41360,중포마을.롯데택배,2020-08-28 14:29:36,1598624976,23,27,0,0,0.123,31.4,74.2,E ,0.3
23780,남양주시,41360,연평3리마을회관,2020-08-28 14:28:30,1598624910,27,34,0,0.006,0.076,31,76.4,N ,0.6
42703,남양주시,41360,주공3.4단지,2020-08-28 14:25:56,1598624756,18,22,0,0.023,0.129,29,88,NW,0
23063,남양주시,41360,퇴계원농협,2020-08-28 14:29:43,1598624983,26,35,0.11,0.359,0.085,30.5,75.6,S ,0
42123,남양주시,41360,퇴계원5리,2020-08-28 14:23:30,1598624610,22,27,0,0.033,0.063,30.5,80.4,NE,0.7
23888,남양주시,41360,대대울,2020-08-28 14:23:59,1598624639,17,19,0,0,0.077,29.3,81.6,E ,0.5
23481,남양주시,41360,호평동.대주신명아파트,2020-08-28 14:26:05,1598624765,13,15,0,0.031,0.104,25.7,95.7,W ,0
23698,남양주시,41360,호평고등학교.동원아파트,2020-08-28 14:21:12,1598624472,16,20,0,0.014,0.08,25.5,96.8,SW,0
23444,남양주시,41360,장내마을.평내파출소,2020-08-28 14:22:35,1598624555,11,13,0,0.035,0.121,26,96.5,NW,1.7
23485,남양주시,41360,대명루첸1차아파트,2020-08-28 14:28:36,1598624916,22,31,0,0,0,26.2,94.5,SE,0.3
49137,남양주시,41360,대주2차아파트앞,2020-08-28 14:21:55,1598624515,10,12,0,0,0.069,25.8,96.2,S ,0
23455,남양주시,41360,평내동 주민센터,2020-08-28 14:29:39,1598624979,19,25,0,0,0.156,26.4,96.5,S ,0
23448,남양주시,41360,장내중.평내고.남양주소방서,2020-08-28 14:20:54,1598624454,17,21,0,0.032,0.087,26.6,99.6,W ,0
23037,남양주시,41360,평양골,2020-08-28 14:20:24,1598624424,25,31,0,0,0.094,31.4,76.5,SW,1.7
05048,성남시,41130,중앙시장.농협,2020-08-28 14:29:06,1598624946,14,19,0.129,0,0.067,31.6,70.5,NE,0.3
07202,성남시,41130,성남아트센터.태원고교,2020-08-28 14:27:42,1598624862,18,24,0,0.015,0.108,32.7,68.7,W ,0
23391,남양주시,41360,성도아파트,2020-08-28 14:22:58,1598624578,17,20,0,0.048,0.114,26.9,94.4,NE,1.1
23340,남양주시,41360,여우내마을,2020-08-28 14:29:17,1598624957,23,28,0,0.018,0.057,29.4,85.4,SE,0.2
23463,남양주시,41360,평내신명.대주.금호아파트,2020-08-28 14:27:06,1598624826,17,20,0,0,0.092,25.6,96,NW,0.1
23822,남양주시,41360,웃고재,2020-08-28 14:23:26,1598624606,24,33,0,0,0.039,29.4,85.4,N ,0.5
00005,성남시,41130,센코-국가측정비교-단대동 행정복지센터,2020-08-29 15:28:29,1598714909,9,11,0,0.021,0.056,28.5,83.6,E ,0.5
06211,성남시,41130,상원초교.성남중앙병원.양지동청소년문화의집,2020-08-29 15:23:09,1598714589,12,14,0,0,0.049,28.3,85.1,N ,0
05092,성남시,41130,산성역.신흥주공아파트후문,2020-08-29 15:24:29,1598714669,10,13,0.493,0,0.077,27.1,93.5,W ,0.5
